Data,Otwarcie
2023-09-21,156.3
2023-09-22,148.9
2023-09-25,150.65
2023-09-26,149
2023-09-27,140
2023-09-28,135
2023-09-29,124.2
2023-10-02,126.3
2023-10-03,120.45
2023-10-04,128
2023-10-05,126.65
2023-10-06,118.55
2023-10-09,107.35
2023-10-10,110.8
2023-10-11,114
2023-10-12,111
2023-10-13,105.5
2023-10-16,108
2023-10-17,101.75
2023-10-18,105.45
2023-10-19,104.4
2023-10-20,105
2023-10-23,104.75
2023-10-24,103.45
2023-10-25,104.4
2023-10-26,105.25
2023-10-27,106.6
2023-10-30,107.4
2023-10-31,105.5
2023-11-02,106.5
2023-11-03,109
2023-11-06,110.9
2023-11-07,109.5
2023-11-08,109
2023-11-09,108.25
2023-11-10,110
2023-11-13,109.5
2023-11-14,107.05
2023-11-15,114.3
2023-11-16,114.2
2023-11-17,112.6
2023-11-20,113.85
2023-11-21,114.65
2023-11-22,113
2023-11-23,113.85
2023-11-24,110.5
2023-11-27,112.4
2023-11-28,109.45
2023-11-29,115
2023-11-30,105
2023-12-01,107.3
2023-12-04,110.45
2023-12-05,106.75
2023-12-06,107.85
2023-12-07,108.5
2023-12-08,108.25
2023-12-11,112.15
2023-12-12,114.35
2023-12-13,113.3
2023-12-14,113.95
2023-12-15,114.1
2023-12-18,114.4
2023-12-19,115.3
2023-12-20,117
2023-12-21,115.25
2023-12-22,116
2023-12-27,116.5
2023-12-28,115.75
2023-12-29,115.7
2024-01-02,115.05
2024-01-03,111.85
2024-01-04,111.65
2024-01-05,112.05
2024-01-08,110.8
2024-01-09,110.25
2024-01-10,111.35
2024-01-11,111.2
2024-01-12,108
2024-01-15,107.95
2024-01-16,106.6
2024-01-17,104.9
2024-01-18,100.8
2024-01-19,100.5
2024-01-22,100.05
2024-01-23,103.8
2024-01-24,104.2
2024-01-25,105.5
2024-01-26,106.35
2024-01-29,105.35
2024-01-30,105
2024-01-31,103.95
2024-02-01,103.65
2024-02-02,105.05
2024-02-05,104.45
2024-02-06,109.45
2024-02-07,108.35
2024-02-08,109
2024-02-09,109
2024-02-12,111.1
2024-02-13,113.2
2024-02-14,109.25
2024-02-15,110.3
2024-02-16,113.75
2024-02-19,113.3
2024-02-20,113.5
2024-02-21,115
2024-02-22,114.2
2024-02-23,115.45
2024-02-26,114.8
2024-02-27,113.9
2024-02-28,115.3
2024-02-29,110.9
2024-03-01,110
2024-03-04,110.35
2024-03-05,105.95
2024-03-06,105.7
2024-03-07,106.95
2024-03-08,108.5
2024-03-11,112.1
2024-03-12,117.2
2024-03-13,117.75
2024-03-14,116.5
2024-03-15,118
